Bulan,Nama_Wisata,Tipe_Wisatawan,Jumlah_Pengunjung
Januari,Goa Jatijajar,Domestik,6916
Januari,Goa Jatijajar,Mancanegara,0
Februari,Goa Jatijajar,Domestik,14975
Februari,Goa Jatijajar,Mancanegara,0
Maret,Goa Jatijajar,Domestik,13719
Maret,Goa Jatijajar,Mancanegara,0
April,Goa Jatijajar,Domestik,31681
April,Goa Jatijajar,Mancanegara,7
Mei,Goa Jatijajar,Domestik,28353
Mei,Goa Jatijajar,Mancanegara,0
Juni,Goa Jatijajar,Domestik,14527
Juni,Goa Jatijajar,Mancanegara,0
Juli,Goa Jatijajar,Domestik,14498
Juli,Goa Jatijajar,Mancanegara,2
Agustus,Goa Jatijajar,Domestik,4725
Agustus,Goa Jatijajar,Mancanegara,0
September,Goa Jatijajar,Domestik,7177
September,Goa Jatijajar,Mancanegara,0
Oktober,Goa Jatijajar,Domestik,3063
Oktober,Goa Jatijajar,Mancanegara,0
November,Goa Jatijajar,Domestik,7252
November,Goa Jatijajar,Mancanegara,0
Desember,Goa Jatijajar,Domestik,11354
Desember,Goa Jatijajar,Mancanegara,0
Januari,Goa Petruk,Domestik,114
Januari,Goa Petruk,Mancanegara,0
Februari,Goa Petruk,Domestik,123
Februari,Goa Petruk,Mancanegara,0
Maret,Goa Petruk,Domestik,256
Maret,Goa Petruk,Mancanegara,0
April,Goa Petruk,Domestik,479
April,Goa Petruk,Mancanegara,0
Mei,Goa Petruk,Domestik,316
Mei,Goa Petruk,Mancanegara,0
Juni,Goa Petruk,Domestik,281
Juni,Goa Petruk,Mancanegara,0
Juli,Goa Petruk,Domestik,176
Juli,Goa Petruk,Mancanegara,0
Agustus,Goa Petruk,Domestik,76
Agustus,Goa Petruk,Mancanegara,0
September,Goa Petruk,Domestik,182
September,Goa Petruk,Mancanegara,0
Oktober,Goa Petruk,Domestik,124
Oktober,Goa Petruk,Mancanegara,0
November,Goa Petruk,Domestik,63
November,Goa Petruk,Mancanegara,0
Desember,Goa Petruk,Domestik,57
Desember,Goa Petruk,Mancanegara,0
Januari,PAP Krakal,Domestik,3410
Januari,PAP Krakal,Mancanegara,0
Februari,PAP Krakal,Domestik,7211
Februari,PAP Krakal,Mancanegara,0
Maret,PAP Krakal,Domestik,6735
Maret,PAP Krakal,Mancanegara,0
April,PAP Krakal,Domestik,9808
April,PAP Krakal,Mancanegara,0
Mei,PAP Krakal,Domestik,9687
Mei,PAP Krakal,Mancanegara,0
Juni,PAP Krakal,Domestik,4773
Juni,PAP Krakal,Mancanegara,0
Juli,PAP Krakal,Domestik,5312
Juli,PAP Krakal,Mancanegara,0
Agustus,PAP Krakal,Domestik,2419
Agustus,PAP Krakal,Mancanegara,0
September,PAP Krakal,Domestik,11105
September,PAP Krakal,Mancanegara,0
Oktober,PAP Krakal,Domestik,4087
Oktober,PAP Krakal,Mancanegara,0
November,PAP Krakal,Domestik,3404
November,PAP Krakal,Mancanegara,0
Desember,PAP Krakal,Domestik,6342
Desember,PAP Krakal,Mancanegara,0
Januari,Pantai Logending,Domestik,1531
Januari,Pantai Logending,Mancanegara,0
Februari,Pantai Logending,Domestik,2384
Februari,Pantai Logending,Mancanegara,0
Maret,Pantai Logending,Domestik,2667
Maret,Pantai Logending,Mancanegara,0
April,Pantai Logending,Domestik,10924
April,Pantai Logending,Mancanegara,0
Mei,Pantai Logending,Domestik,5788
Mei,Pantai Logending,Mancanegara,0
Juni,Pantai Logending,Domestik,2120
Juni,Pantai Logending,Mancanegara,0
Juli,Pantai Logending,Domestik,2731
Juli,Pantai Logending,Mancanegara,0
Agustus,Pantai Logending,Domestik,1019
Agustus,Pantai Logending,Mancanegara,0
September,Pantai Logending,Domestik,1485
September,Pantai Logending,Mancanegara,0
Oktober,Pantai Logending,Domestik,1582
Oktober,Pantai Logending,Mancanegara,0
November,Pantai Logending,Domestik,1656
November,Pantai Logending,Mancanegara,0
Desember,Pantai Logending,Domestik,4099
Desember,Pantai Logending,Mancanegara,0
Januari,Pantai Petanahan,Domestik,3137
Januari,Pantai Petanahan,Mancanegara,0
Februari,Pantai Petanahan,Domestik,5129
Februari,Pantai Petanahan,Mancanegara,0
Maret,Pantai Petanahan,Domestik,6729
Maret,Pantai Petanahan,Mancanegara,0
April,Pantai Petanahan,Domestik,18234
April,Pantai Petanahan,Mancanegara,0
Mei,Pantai Petanahan,Domestik,9107
Mei,Pantai Petanahan,Mancanegara,0
Juni,Pantai Petanahan,Domestik,3350
Juni,Pantai Petanahan,Mancanegara,0
Juli,Pantai Petanahan,Domestik,5589
Juli,Pantai Petanahan,Mancanegara,0
Agustus,Pantai Petanahan,Domestik,2681
Agustus,Pantai Petanahan,Mancanegara,0
September,Pantai Petanahan,Domestik,2848
September,Pantai Petanahan,Mancanegara,0
Oktober,Pantai Petanahan,Domestik,2617
Oktober,Pantai Petanahan,Mancanegara,0
November,Pantai Petanahan,Domestik,4117
November,Pantai Petanahan,Mancanegara,0
Desember,Pantai Petanahan,Domestik,18235
Desember,Pantai Petanahan,Mancanegara,2
Januari,Pantai Suwuk,Domestik,2470
Januari,Pantai Suwuk,Mancanegara,0
Februari,Pantai Suwuk,Domestik,5205
Februari,Pantai Suwuk,Mancanegara,0
Maret,Pantai Suwuk,Domestik,4698
Maret,Pantai Suwuk,Mancanegara,0
April,Pantai Suwuk,Domestik,21731
April,Pantai Suwuk,Mancanegara,0
Mei,Pantai Suwuk,Domestik,9844
Mei,Pantai Suwuk,Mancanegara,0
Juni,Pantai Suwuk,Domestik,3169
Juni,Pantai Suwuk,Mancanegara,0
Juli,Pantai Suwuk,Domestik,4933
Juli,Pantai Suwuk,Mancanegara,0
Agustus,Pantai Suwuk,Domestik,2972
Agustus,Pantai Suwuk,Mancanegara,0
September,Pantai Suwuk,Domestik,3955
September,Pantai Suwuk,Mancanegara,0
Oktober,Pantai Suwuk,Domestik,4576
Oktober,Pantai Suwuk,Mancanegara,0
November,Pantai Suwuk,Domestik,4982
November,Pantai Suwuk,Mancanegara,0
Desember,Pantai Suwuk,Domestik,8318
Desember,Pantai Suwuk,Mancanegara,0
Januari,Waduk Sempor,Domestik,4660
Januari,Waduk Sempor,Mancanegara,0
Februari,Waduk Sempor,Domestik,10377
Februari,Waduk Sempor,Mancanegara,0
Maret,Waduk Sempor,Domestik,8430
Maret,Waduk Sempor,Mancanegara,0
April,Waduk Sempor,Domestik,21536
April,Waduk Sempor,Mancanegara,0
Mei,Waduk Sempor,Domestik,18019
Mei,Waduk Sempor,Mancanegara,0
Juni,Waduk Sempor,Domestik,6284
Juni,Waduk Sempor,Mancanegara,0
Juli,Waduk Sempor,Domestik,9377
Juli,Waduk Sempor,Mancanegara,0
Agustus,Waduk Sempor,Domestik,2506
Agustus,Waduk Sempor,Mancanegara,0
September,Waduk Sempor,Domestik,2170
September,Waduk Sempor,Mancanegara,0
Oktober,Waduk Sempor,Domestik,3716
Oktober,Waduk Sempor,Mancanegara,0
November,Waduk Sempor,Domestik,4751
November,Waduk Sempor,Mancanegara,0
Desember,Waduk Sempor,Domestik,1180
Desember,Waduk Sempor,Mancanegara,0
Januari,Waduk Wadaslintang,Domestik,2170
Januari,Waduk Wadaslintang,Mancanegara,0
Februari,Waduk Wadaslintang,Domestik,5470
Februari,Waduk Wadaslintang,Mancanegara,0
Maret,Waduk Wadaslintang,Domestik,3899
Maret,Waduk Wadaslintang,Mancanegara,0
April,Waduk Wadaslintang,Domestik,8116
April,Waduk Wadaslintang,Mancanegara,0
Mei,Waduk Wadaslintang,Domestik,5071
Mei,Waduk Wadaslintang,Mancanegara,0
Juni,Waduk Wadaslintang,Domestik,1738
Juni,Waduk Wadaslintang,Mancanegara,0
Juli,Waduk Wadaslintang,Domestik,2131
Juli,Waduk Wadaslintang,Mancanegara,0
Agustus,Waduk Wadaslintang,Domestik,1088
Agustus,Waduk Wadaslintang,Mancanegara,0
September,Waduk Wadaslintang,Domestik,1346
September,Waduk Wadaslintang,Mancanegara,0
Oktober,Waduk Wadaslintang,Domestik,1332
Oktober,Waduk Wadaslintang,Mancanegara,0
November,Waduk Wadaslintang,Domestik,1157
November,Waduk Wadaslintang,Mancanegara,0
Desember,Waduk Wadaslintang,Domestik,1641
Desember,Waduk Wadaslintang,Mancanegara,0
